date,Zip_Clean,PRCP,SNOW,zip3,TMAX.F,TMIN.F,season,study_year_idx
2005-06-01,50638,78.44444444444444,0,506,84.29642857142856,62.25928571428572,summer,1
2005-06-01,50644,72.36842105263158,0,506,85.07545454545455,62.027272727272724,summer,1
2005-06-01,50645,70.37931034482759,0,506,NA,NA,summer,1
2005-06-01,50659,84.48275862068965,0,506,81.74827586206897,61.55724137931035,summer,1
2005-06-01,50662,52.310344827586206,0,506,82.03357142857143,61.34,summer,1
2005-06-01,50665,90,0,506,NA,NA,summer,1
2005-06-01,50672,29.689655172413794,0,506,NA,NA,summer,1
2005-06-01,50676,62,0,506,83.85862068965517,61.637931034482754,summer,1
2005-06-01,50703,70.3103448275862,0,507,83.57931034482758,61.519999999999996,summer,1
2005-06-01,50801,46.89655172413793,0,508,83.38689655172413,62.606206896551726,summer,1
2005-06-01,50833,45.74074074074074,0,508,85.77333333333334,63.27333333333333,summer,1
2005-06-01,50836,44.37931034482759,0,508,NA,NA,summer,1
2005-06-01,50841,25.043478260869566,0,508,86.18857142857142,65.04285714285714,summer,1
2005-06-01,50849,30.413793103448278,0,508,84.15034482758621,62.87310344827586,summer,1
2005-06-01,50853,23.689655172413794,0,508,NA,NA,summer,1
2005-06-01,50854,51.44444444444444,0,508,83.38,62.83333333333333,summer,1
2005-06-01,51001,59.03448275862069,0,510,NA,NA,summer,1
2005-06-01,51003,32,0,510,NA,NA,summer,1
2005-06-01,51010,53.96551724137931,0,510,81.48666666666666,61.56666666666667,summer,1
2005-06-01,51012,76.55172413793103,0,510,82.72896551724139,60.421379310344825,summer,1
2005-06-01,51020,55.89655172413793,0,510,NA,NA,summer,1
2005-06-01,51023,71.86206896551724,0,510,82.78482758620689,61.94206896551724,summer,1
2005-06-01,51025,56.10344827586207,0,510,81.10275862068966,63.00344827586207,summer,1
2005-06-01,51031,61.241379310344826,0,510,82.58620689655173,61.88620689655173,summer,1
2005-06-01,51034,46,0,510,84.09448275862069,61.12275862068966,summer,1
2005-06-01,51040,39.94827586206897,0,510,85.26758620689655,62.904137931034484,summer,1
2005-06-01,51111,35.89655172413793,0,511,86.21724137931035,63.95310344827586,summer,1
2005-06-01,51201,45.10344827586207,0,512,81.65517241379311,59.1551724137931,summer,1
2005-06-01,51245,30.379310344827587,0,512,82.54896551724138,62.76758620689655,summer,1
2005-06-01,51246,50.10344827586207,0,512,83.49241379310345,61.414482758620686,summer,1
2005-06-01,51247,53.13793103448276,0,512,NA,NA,summer,1
2005-06-01,51248,46.37931034482759,0,512,76.73931034482759,53.74896551724138,summer,1
2005-06-01,51249,50.241379310344826,0,512,81.81333333333333,58.90666666666667,summer,1
2005-06-01,51250,38.172413793103445,0,512,84.5848275862069,62.109655172413795,summer,1
2005-06-01,51301,33.724137931034484,0,513,83.06413793103448,61.46413793103448,summer,1
2005-06-01,51334,29.448275862068964,0,513,82.23862068965518,60.79379310344827,summer,1
2005-06-01,51347,31.103448275862068,0,513,80.35793103448276,60.31586206896552,summer,1
2005-06-01,51354,35.208333333333336,0,513,NA,NA,summer,1
2005-06-01,51360,27.620689655172413,0,513,82.16413793103447,62.29586206896552,summer,1
2005-06-01,51401,39.13793103448276,0,514,83.20068965517241,61.69379310344827,summer,1
2005-06-01,51442,39,0,514,82.63586206896552,62.66827586206897,summer,1
2005-06-01,51445,51.275862068965516,0,514,83.28758620689655,62.27103448275862,summer,1
2005-06-01,51537,39.206896551724135,0,515,83.03310344827587,61.92344827586207,summer,1
2005-06-01,51545,33.96551724137931,0,515,84.065,61.91857142857143,summer,1
2005-06-01,51546,24.517241379310345,0,515,84.33655172413793,62.95379310344827,summer,1
2005-06-01,51555,NA,NA,515,86.60206896551725,65.20068965517241,summer,1
2005-06-01,51560,33.206896551724135,0,515,83.42413793103448,63.44413793103448,summer,1
2005-06-01,51561,27.448275862068964,0,515,85.21172413793104,63.82275862068966,summer,1
2005-06-01,51566,34.51724137931034,0,515,84.82689655172415,64.58620689655173,summer,1
2005-06-01,51576,24.26086956521739,0,515,NA,NA,summer,1
2005-06-01,51601,46.55172413793103,0,516,86.06827586206896,66.05724137931034,summer,1
2005-06-01,51632,46.793103448275865,0,516,83.63517241379311,63.14620689655173,summer,1
2005-06-01,51649,53.62068965517241,0,516,NA,NA,summer,1
2005-06-01,51652,38.89655172413793,0,516,83.46758620689656,64.66689655172414,summer,1
2005-06-01,52001,33.241379310344826,0,520,86.40965517241379,64.67931034482758,summer,1
2005-06-01,52003,27,0,520,82.42482758620689,62.13448275862069,summer,1
2005-06-01,52031,16.82758620689655,0,520,85.58857142857144,62.40071428571428,summer,1
2005-06-01,52033,31.137931034482758,0,520,84.52896551724139,61.32137931034483,summer,1
2005-06-01,52052,45.51724137931034,0,520,85.22413793103448,65.06413793103448,summer,1
2005-06-01,52057,43.3448275862069,0,520,84.07586206896552,61.141379310344824,summer,1
2005-06-01,52060,16.93103448275862,0,520,84.51034482758621,61.687586206896555,summer,1
2005-06-01,52076,37.67857142857143,0,520,82.77384615384615,58.52923076923077,summer,1
2005-06-01,52101,38.6551724137931,0,521,85.08137931034483,60.787586206896556,summer,1
2005-06-01,52136,51.3448275862069,0,521,82.4744827586207,59.279310344827586,summer,1
2005-06-01,52140,27.344827586206897,0,521,NA,NA,summer,1
2005-06-01,52142,55.6551724137931,0,521,82.87793103448276,61.44551724137931,summer,1
2005-06-01,52151,52.310344827586206,0,521,NA,NA,summer,1
2005-06-01,52162,50.41379310344828,0,521,83.34344827586207,62.50068965517241,summer,1
2005-06-01,52171,47.62068965517241,0,521,NA,NA,summer,1
2005-06-01,52172,44.241379310344826,0,521,83.3806896551724,59.428275862068965,summer,1
2005-06-01,52175,46.58620689655172,0,521,NA,NA,summer,1
2005-06-01,52205,28.928571428571427,0,522,84.64689655172414,61.27793103448276,summer,1
2005-06-01,52208,52.357142857142854,0,522,83.41793103448275,61.32137931034483,summer,1
2005-06-01,52211,40.689655172413794,0,522,NA,NA,summer,1
2005-06-01,52217,63.689655172413794,0,522,NA,NA,summer,1
2005-06-01,52218,31.551724137931036,0,522,84.56642857142857,60.144285714285715,summer,1
2005-06-01,52228,52.44827586206897,0,522,NA,NA,summer,1
2005-06-01,52240,25.379310344827587,0,522,87.89310344827587,63.82275862068966,summer,1
2005-06-01,52246,26.482758620689655,NA,522,88.52,66.33655172413793,summer,1
2005-06-01,52255,16.06896551724138,0,522,NA,NA,summer,1
2005-06-01,52302,28.448275862068964,0,523,85.72068965517242,63.72344827586207,summer,1
2005-06-01,52338,27.517241379310345,0,523,NA,NA,summer,1
2005-06-01,52342,46.51724137931034,0,523,83.24413793103449,62.06620689655172,summer,1
2005-06-01,52349,42,0,523,85.40413793103448,62.83586206896552,summer,1
2005-06-01,52353,28.620689655172413,0,523,86.15517241379311,62.40758620689655,summer,1
2005-06-01,52361,19.137931034482758,0,523,85.21571428571428,62.45857142857143,summer,1
2005-06-01,52404,42.241379310344826,NA,524,83.93931034482759,62.51310344827586,summer,1
2005-06-01,52501,40.63793103448276,0,525,84.6096551724138,63.02206896551724,summer,1
2005-06-01,52531,46.827586206896555,0,525,83.07655172413793,62.314482758620684,summer,1
2005-06-01,52537,56.758620689655174,0,525,84.48551724137931,63.79172413793104,summer,1
2005-06-01,52540,36.793103448275865,0,525,NA,NA,summer,1
2005-06-01,52544,41.724137931034484,0,525,83.91615384615385,64.62153846153846,summer,1
2005-06-01,52556,39.96551724137931,0,525,86.08689655172414,63.3696551724138,summer,1
2005-06-01,52565,44.172413793103445,0,525,88.29655172413793,63.51862068965517,summer,1
2005-06-01,52574,55.724137931034484,0,525,83.70965517241379,63.493793103448276,summer,1
2005-06-01,52577,35.48275862068966,0,525,83.84,62.36413793103448,summer,1
2005-06-01,52591,29.448275862068964,0,525,84.49172413793103,62.07862068965517,summer,1
2005-06-01,52601,17,0,526,86.21413793103447,65.05172413793103,summer,1
2005-06-01,52625,37.13793103448276,0,526,NA,NA,summer,1
2005-06-01,52627,33.689655172413794,0,526,86.03724137931034,67.31724137931035,summer,1
2005-06-01,52632,25.103448275862068,0,526,86.35379310344828,64.72275862068966,summer,1
2005-06-01,52641,35.3448275862069,0,526,86.0496551724138,62.959999999999994,summer,1
2005-06-01,52653,37.6551724137931,0,526,NA,NA,summer,1
2005-06-01,52722,9.96551724137931,0,527,86.01862068965518,65.89586206896551,summer,1
2005-06-01,52730,22.586206896551722,0,527,86.72,64.53655172413792,summer,1
2005-06-01,52738,27.103448275862068,0,527,84.848,63.60080000000001,summer,1
2005-06-01,52742,6.535714285714286,0,527,NA,NA,summer,1
2005-06-01,52761,17.125,0,527,84.6572,64.44588235294117,summer,1
2005-06-01,52772,16.724137931034484,0,527,84.0696551724138,61.606896551724134,summer,1
2005-06-01,52806,10.03448275862069,NA,528,85.83241379310344,62.76137931034482,summer,1
2005-07-01,50006,33.03333333333333,0,500,NA,NA,summer,1
2005-07-01,50008,23.033333333333335,0,500,86.13655172413793,64.25103448275863,summer,1
2005-07-01,50010,27.366666666666667,0,500,85.796,62.768,summer,1
2005-07-01,50021,40.36666666666667,0,500,88.69399999999999,64.562,summer,1
2005-07-01,50022,26.166666666666668,0,500,87.422,64.238,summer,1
2005-07-01,50025,38.666666666666664,0,500,85.622,61.34,summer,1
2005-07-01,50036,30.216666666666665,0,500,86.25800000000001,64.193,summer,1
2005-07-01,50049,20.6,0,500,87.518,62.024,summer,1
2005-07-01,50056,28.466666666666665,0,500,84.63199999999999,64.262,summer,1
2005-07-01,50071,51.53333333333333,0,500,NA,NA,summer,1
2005-07-01,50074,41.8,0,500,85.64,65.384,summer,1
2005-07-01,50106,28.766666666666666,0,501,NA,NA,summer,1
2005-07-01,50112,33.3,0,501,84.902,62.132000000000005,summer,1
2005-07-01,50115,34.43333333333333,0,501,86.40200000000002,63.626,summer,1
2005-07-01,50122,27.733333333333334,0,501,NA,NA,summer,1
2005-07-01,50125,28.9,0,501,86.55333333333333,64.87333333333333,summer,1
2005-07-01,50126,39.06666666666667,0,501,84.34400000000001,62.834,summer,1
2005-07-01,50129,19.766666666666666,0,501,87.65599999999999,64.286,summer,1
2005-07-01,50130,37.266666666666666,0,501,NA,NA,summer,1
2005-07-01,50131,28.6,0,501,86.18,64.8392,summer,1
2005-07-01,50138,23.785714285714285,0,501,86.46421052631578,64.73157894736842,summer,1
